distributor_id,industry,sku,category,sales,avg_quarterly_sales,movement_category,quarter,year,total_quarter_sales,prev_quarter_sales,is_diwali,is_ganesh_chaturthi,is_gudi_padwa,is_eid,is_akshay_tritiya,is_dussehra_navratri,is_onam,is_christmas,time_idx,date
DIST026,Manufacturing,Mobil Super Mileage 15W-40,Automotive,2975.37,2485.01,Fast Moving,2,2020,2975.37,1987.22,0,0,1,1,1,0,0,0,19113,2020-03-26
DIST028,Financial Services,Borosil Glass Set,Home Goods,2812.47,2770.72,Medium,4,2024,2812.47,2041.91,1,0,0,0,0,1,0,1,20403,2024-11-01
DIST045,E-commerce,Uniqlo AIRism Undershirt,Apparel,5452.17,4630.7,Fast Moving,3,2023,5452.17,3247.88,0,1,0,1,0,1,1,0,33542,2023-09-17
DIST009,Manufacturing,Castrol Engine Oil 3L,Automotive,5804.17,5056.99,Fast Moving,1,2022,5804.17,6530.21,0,0,1,1,0,0,0,0,6754,2022-04-01
DIST020,Retail,Ray-Ban Wayfarer Sunglasses,Apparel,2074.27,2462.16,Medium,2,2023,2074.27,2193.86,0,0,1,0,1,0,0,0,14742,2023-03-24
DIST025,Financial Services,Zara Slim Fit Blazer,Apparel,2800.45,8387.38,Fast Moving,1,2021,2800.45,7941.54,0,0,1,0,0,0,0,0,17968,2021-04-14
DIST033,E-commerce,Biotique Morning Nectar Lotion,Beauty,2317.18,2458.76,Slow Moving,2,2025,2317.18,2581.53,0,0,1,1,1,0,0,0,24732,2025-04-04
DIST038,Education,Speedo Swimming Goggles,Sports,1759.08,2407.12,Slow Moving,3,2023,1759.08,1508.57,0,1,0,1,0,1,1,0,28090,2023-09-21
DIST005,Financial Services,iPhone 15 Pro 256GB,Electronics,20740.32,10013.21,Fast Moving,4,2020,20740.32,10304.35,1,0,0,1,0,1,0,1,3113,2020-11-15
DIST026,Manufacturing,Asian Paints Apcolite Premium Enamel,Paint and ancillaries,4117.35,6108.35,Slow Moving,1,2024,4117.35,6087.84,0,0,1,1,0,0,0,0,18576,2024-04-10
DIST041,E-commerce,Asian Paints Tractor Emulsion,Paint and ancillaries,5765.06,22882.43,Fast Moving,1,2020,5765.06,5188.55,0,0,1,0,0,0,0,0,30705,2020-03-25
DIST023,Manufacturing,Kangaro Stapler HS-10D,Office Supplies,2870.47,2122.68,Slow Moving,3,2022,2870.47,2667.59,0,1,0,1,0,1,1,0,16065,2022-09-01
DIST048,Manufacturing,Hasbro Gaming Jenga,Toys,440.49,845.34,Slow Moving,1,2024,440.49,907.45,0,0,1,1,0,0,0,0,36106,2024-04-11
DIST007,E-commerce,Scotch Magic Tape,Office Supplies,5243.67,4473.52,Slow Moving,3,2025,5243.67,3927.68,0,1,0,0,0,1,1,0,5048,2025-08-05
DIST023,Manufacturing,Nerolac Excel Anti-Peel Exterior,Paint and ancillaries,3197.1,3593.19,Fast Moving,1,2023,3197.1,5307.88,0,0,1,1,0,0,0,0,16843,2023-03-21
DIST023,Manufacturing,Asian Paints Royale Luxury Emulsion,Paint and ancillaries,5756.12,7547.97,Fast Moving,1,2024,5756.12,8330.71,0,0,1,1,0,0,0,0,16937,2024-04-11
DIST029,Manufacturing,Supreme Plastic Chair Set,Home Goods,1575.48,2453.24,Fast Moving,3,2023,1575.48,1414.53,0,1,0,1,0,1,1,0,21477,2023-09-17
DIST030,Financial Services,Slazenger Tennis Balls,Sports,4435.49,3804.0,Medium,4,2025,4435.49,3925.06,1,0,0,0,0,1,0,1,21670,2025-10-21
DIST024,Hospitality,Lego Classic Creative Box,Toys,13249.44,16891.13,Fast Moving,2,2021,13249.44,12109.49,0,0,1,1,1,0,0,0,17674,2021-04-13
DIST003,Education,Zandu Balm,Health,10677.34,10870.3,Slow Moving,4,2020,10677.34,8350.79,1,0,0,1,0,1,0,1,1743,2020-11-15
DIST048,Manufacturing,Philips Dry Iron,Home Goods,2176.08,1900.07,Fast Moving,3,2020,2176.08,1912.23,0,1,0,0,0,1,1,0,35658,2020-08-21
DIST007,E-commerce,Asian Paints Royale Luxury Emulsion,Paint and ancillaries,16045.17,7547.97,Slow Moving,2,2025,16045.17,6299.74,0,0,1,1,1,0,0,0,5228,2025-06-09
DIST019,E-commerce,Me-O Cat Food Seafood 7kg,Pet Supplies,12343.21,21784.25,Fast Moving,1,2022,12343.21,22099.22,0,0,1,1,0,0,0,0,13453,2022-03-31
DIST045,E-commerce,Zandu Balm,Health,5577.37,10870.3,Slow Moving,1,2020,5577.37,5019.63,0,0,1,0,0,0,0,0,33668,2020-03-27
DIST041,E-commerce,Paper Boat Aam Panna,Beverages,4870.04,6158.53,Slow Moving,1,2022,4870.04,7552.49,0,0,1,1,0,0,0,0,30478,2022-04-03
DIST003,Education,Asian Paints Apcolite Premium Enamel,Paint and ancillaries,4290.52,6108.35,Medium,3,2025,4290.52,4937.86,0,1,0,0,0,1,1,0,1853,2025-08-21
DIST005,Financial Services,Supreme Plastic Chair Set,Home Goods,3450.49,2453.24,Slow Moving,3,2024,3450.49,3521.05,0,1,0,0,0,1,1,0,3446,2024-09-07
DIST043,Education,Xbox Series X,Toys,14959.75,9659.16,Slow Moving,3,2024,14959.75,11711.34,0,1,0,0,0,1,1,0,32496,2024-09-08
DIST033,E-commerce,Cat Mate Pet Fountain,Pet Supplies,7310.34,5975.71,Medium,3,2024,7310.34,6511.36,0,1,0,0,0,1,1,0,24687,2024-09-08
DIST050,Wholesale,Pepsi 330ml Can Pack,Beverages,16642.31,21367.23,Slow Moving,4,2025,16642.31,18693.24,1,0,0,0,0,1,0,1,37559,2025-10-20
DIST030,Financial Services,Reynolds Trimax Pen Pack,Office Supplies,1182.25,1408.82,Slow Moving,2,2024,1182.25,854.27,0,0,1,1,1,0,0,0,21708,2024-04-09
DIST004,Healthcare,Bombay Dyeing Bedsheet Set,Home Goods,5094.63,6567.88,Medium,1,2023,5094.63,11485.44,0,0,1,1,0,0,0,0,2445,2023-03-24
DIST021,Healthcare,Michael Kors Crossbody Bag,Apparel,13222.71,7211.41,Fast Moving,4,2021,13222.71,10337.2,1,0,0,0,0,1,0,1,15344,2021-11-06
DIST037,Education,Everest Chicken Masala,Food,1147.27,1251.2,Fast Moving,4,2023,1147.27,1288.67,1,0,0,0,0,1,0,1,27681,2023-11-12
DIST016,E-commerce,Real Mixed Fruit Juice,Beverages,2528.52,3092.51,Fast Moving,1,2020,2528.52,2275.67,0,0,1,0,0,0,0,0,11630,2020-03-26
DIST046,Manufacturing,Nike Football,Sports,1016.05,1785.87,Fast Moving,2,2021,1016.05,878.3,0,0,1,1,1,0,0,0,34587,2021-04-13
DIST010,E-commerce,Bosch Wiper Blades,Automotive,6533.29,6474.21,Slow Moving,2,2023,6533.29,6475.24,0,0,1,0,1,0,0,0,7487,2023-03-21
DIST033,E-commerce,Kinley Water 1L Pack,Beverages,7762.92,8863.91,Fast Moving,1,2021,7762.92,11914.78,0,0,1,0,0,0,0,0,24114,2021-04-12
DIST050,Wholesale,Pigeon Favorite Electric Kettle,Home Goods,4219.51,6581.96,Medium,2,2022,4219.51,3180.91,0,0,1,0,1,0,0,0,37336,2022-03-31
DIST027,Wholesale,Ponds Face Powder,Beauty,1084.46,2244.92,Fast Moving,1,2023,1084.46,1734.83,0,0,1,1,0,0,0,0,19692,2023-03-23
DIST029,Manufacturing,Vans Old Skool Sneakers,Apparel,13781.86,13401.03,Slow Moving,2,2022,13781.86,10584.19,0,0,1,0,1,0,0,0,20740,2022-03-31
DIST013,Manufacturing,Borosil Glass Set,Home Goods,4890.77,2770.72,Slow Moving,4,2024,4890.77,3371.07,1,0,0,0,0,1,0,1,9843,2024-11-02
DIST041,E-commerce,North Face Puffer Jacket,Apparel,6738.29,8039.47,Slow Moving,3,2025,6738.29,5421.76,0,1,0,0,0,1,1,0,30584,2025-07-05
DIST017,Retail,Remote Control Car,Toys,1290.33,2551.44,Medium,1,2023,1290.33,2535.98,0,0,1,1,0,0,0,0,12731,2023-03-23
DIST006,Financial Services,Faber-Castell Highlighters,Office Supplies,6156.22,6957.07,Medium,3,2022,6156.22,5956.44,0,1,0,1,0,1,1,0,3919,2022-08-31
DIST016,E-commerce,Nike Football,Sports,1360.39,1785.87,Medium,2,2021,1360.39,1054.5,0,0,1,1,1,0,0,0,11793,2021-04-13
DIST022,E-commerce,"Samsung 43"" Crystal 4K TV",Electronics,1028.61,2013.53,Fast Moving,1,2021,1028.61,3585.59,0,0,1,0,0,0,0,0,15791,2021-04-14
DIST010,E-commerce,Honda Engine Oil 10W-30,Automotive,5932.98,4770.42,Slow Moving,3,2020,5932.98,5522.45,0,1,0,0,0,1,1,0,7181,2020-08-20
DIST041,E-commerce,Asian Paints Tractor Emulsion,Paint and ancillaries,14657.48,22882.43,Medium,2,2021,14657.48,6160.13,0,0,1,1,1,0,0,0,30710,2021-04-13
DIST013,Manufacturing,Borosil Glass Set,Home Goods,2912.72,2770.72,Slow Moving,3,2021,2912.72,2484.07,0,1,0,1,0,1,1,0,9830,2021-09-09
DIST021,Healthcare,Philips Headlight Bulbs,Automotive,1199.7,856.36,Slow Moving,1,2024,1199.7,2031.46,0,0,1,1,0,0,0,0,15130,2024-04-08
DIST039,Financial Services,Nestle Maggi Noodles,Food,1557.52,3119.14,Fast Moving,2,2021,1557.52,1113.75,0,0,1,1,1,0,0,0,28787,2021-04-14
DIST005,Financial Services,Neelgagan Stamp Pad,Office Supplies,296.56,365.18,Medium,3,2022,296.56,210.28,0,1,0,1,0,1,1,0,3347,2022-08-30
DIST014,Manufacturing,MAC Ruby Woo Lipstick,Beauty,1855.32,5146.8,Medium,1,2024,1855.32,3186.73,0,0,1,1,0,0,0,0,10342,2024-04-11
DIST026,Manufacturing,JK Easy Copier Paper,Office Supplies,1050.21,846.22,Medium,1,2022,1050.21,1458.77,0,0,1,1,0,0,0,0,19029,2022-04-01
DIST017,Retail,Remote Control Car,Toys,1507.08,2551.44,Medium,2,2022,1507.08,1358.13,0,0,1,0,1,0,0,0,12728,2022-04-02
DIST012,Retail,PlayStation 5 Digital Edition,Toys,14271.27,13593.1,Medium,3,2021,14271.27,10867.08,0,1,0,1,0,1,1,0,8672,2021-09-10
DIST049,Financial Services,Neelgagan Stamp Pad,Office Supplies,545.34,365.18,Medium,4,2022,545.34,296.84,1,0,0,0,0,1,0,1,36971,2022-10-23
DIST045,E-commerce,Cello Finesse Dinner Set,Home Goods,1762.59,2944.2,Medium,2,2020,1762.59,1559.09,0,0,1,1,1,0,0,0,33391,2020-03-26
DIST006,Financial Services,PetSafe Gentle Leader Collar,Pet Supplies,596.88,1265.77,Medium,1,2025,596.88,1244.87,0,0,1,1,0,0,0,0,4563,2025-01-09
DIST017,Retail,Olay Total Effects Day Cream,Beauty,1423.15,2151.41,Fast Moving,2,2020,1423.15,1280.84,0,0,1,1,1,0,0,0,11945,2020-03-26
DIST034,E-commerce,Cadbury Dairy Milk Chocolate,Food,8722.22,12480.74,Medium,3,2025,8722.22,6967.99,0,1,0,0,0,1,1,0,25069,2025-08-20
DIST007,E-commerce,iPhone 15 Pro 256GB,Electronics,26432.7,10013.21,Slow Moving,4,2025,26432.7,15146.76,1,0,0,0,0,1,0,1,4889,2025-10-17
DIST038,Education,Mobil Super Mileage 15W-40,Automotive,2502.86,2485.01,Fast Moving,2,2022,2502.86,2668.57,0,0,1,0,1,0,0,0,28564,2022-04-01
DIST042,Retail,Saffola Active Oil 5L,Food,856.32,1329.98,Slow Moving,2,2022,856.32,1117.49,0,0,1,0,1,0,0,0,31486,2022-04-03
DIST039,Financial Services,Dove Moisturizing Cream,Beauty,3468.74,3468.33,Slow Moving,1,2024,3468.74,5036.24,0,0,1,1,0,0,0,0,29092,2024-04-08
DIST018,Manufacturing,Levi's 501 Original Jeans,Apparel,13432.08,7288.33,Fast Moving,4,2020,13432.08,8893.16,1,0,0,1,0,1,0,1,13108,2020-11-16
DIST042,Retail,Scotch Magic Tape,Office Supplies,3768.9,4473.52,Fast Moving,2,2025,3768.9,3484.26,0,0,1,1,1,0,0,0,31820,2025-05-17
DIST031,Education,Tommy Hilfiger Classic Shirt,Apparel,3881.33,4766.13,Fast Moving,2,2025,3881.33,2654.01,0,0,1,1,1,0,0,0,22766,2025-06-13
DIST024,Hospitality,JBL Flip 6 Speaker,Electronics,1689.47,3363.02,Slow Moving,1,2022,1689.47,3745.62,0,0,1,1,0,0,0,0,17132,2022-04-01
DIST033,E-commerce,Kinley Water 1L Pack,Beverages,13058.74,8863.91,Slow Moving,3,2025,13058.74,11065.7,0,1,0,0,0,1,1,0,24132,2025-07-09
DIST048,Manufacturing,Parker Vector Fountain Pen,Office Supplies,12611.35,13816.22,Medium,2,2024,12611.35,9721.16,0,0,1,1,1,0,0,0,36313,2024-04-10
DIST044,Healthcare,Volini Spray,Health,2115.17,4947.15,Fast Moving,1,2022,2115.17,4547.0,0,0,1,1,0,0,0,0,32963,2022-04-03
DIST034,E-commerce,Haldiram's Bhujia,Food,14924.97,22105.21,Slow Moving,3,2022,14924.97,6701.79,0,1,0,1,0,1,1,0,25304,2022-09-01
DIST050,Wholesale,Olay Total Effects Day Cream,Beauty,1567.99,2151.41,Slow Moving,2,2022,1567.99,1433.55,0,0,1,0,1,0,0,0,37245,2022-04-03
DIST038,Education,Whiskas Cat Food Tuna 7kg,Pet Supplies,1009.47,1685.14,Fast Moving,1,2021,1009.47,1549.4,0,0,1,0,0,0,0,0,28149,2021-04-11
DIST026,Manufacturing,JK Easy Copier Paper,Office Supplies,1006.85,846.22,Fast Moving,2,2022,1006.85,1050.21,0,0,1,0,1,0,0,0,19030,2022-04-03
DIST001,Manufacturing,Pawzone Cat Scratch Post,Pet Supplies,5179.49,2378.99,Fast Moving,4,2025,5179.49,4257.1,1,0,0,0,0,1,0,1,22,2025-11-18
DIST005,Financial Services,Kinley Water 1L Pack,Beverages,10992.38,8863.91,Fast Moving,3,2022,10992.38,6740.27,0,1,0,1,0,1,1,0,3712,2022-08-30
DIST024,Hospitality,Adidas Running Shoes,Sports,3312.87,1700.72,Slow Moving,4,2023,3312.87,2103.7,1,0,0,0,0,1,0,1,17295,2023-11-10
DIST041,E-commerce,7UP 600ml Bottle,Beverages,2176.42,1285.49,Medium,3,2025,2176.42,1561.75,0,1,0,0,0,1,1,0,30840,2025-07-27
DIST049,Financial Services,Under Armour Performance Polo,Apparel,3639.31,7390.86,Medium,2,2021,3639.31,2795.14,0,0,1,1,1,0,0,0,36509,2021-04-15
DIST028,Financial Services,Dove Moisturizing Cream,Beauty,7305.49,3468.33,Medium,4,2025,7305.49,5690.94,1,0,0,0,0,1,0,1,20273,2025-10-16
DIST020,Retail,Ray-Ban Wayfarer Sunglasses,Apparel,2701.65,2462.16,Slow Moving,2,2024,2701.65,2253.77,0,0,1,1,1,0,0,0,14746,2024-04-11
DIST013,Manufacturing,Mobil Super Mileage 15W-40,Automotive,1970.12,2485.01,Slow Moving,1,2023,1970.12,4029.12,0,0,1,1,0,0,0,0,9111,2023-03-22
DIST006,Financial Services,Slazenger Tennis Balls,Sports,4219.44,3804.0,Fast Moving,3,2024,4219.44,4130.15,0,1,0,0,0,1,1,0,4159,2024-09-07
DIST028,Financial Services,PetSafe Drinkwell Water Fountain,Pet Supplies,4397.67,2523.22,Fast Moving,3,2023,4397.67,2726.99,0,1,0,1,0,1,1,0,20198,2023-09-18
DIST014,Manufacturing,Rubik's Cube Original,Toys,1540.17,2167.18,Slow Moving,4,2021,1540.17,1205.09,1,0,0,0,0,1,0,1,9990,2021-11-05
DIST030,Financial Services,Voltas 2 Ton Window AC,Electronics,3508.15,4366.23,Slow Moving,2,2022,3508.15,3314.72,0,0,1,0,1,0,0,0,21540,2022-04-04
DIST002,Hospitality,Coca-Cola 2L Bottle,Beverages,10480.81,22796.18,Fast Moving,1,2023,10480.81,21225.73,0,0,1,1,0,0,0,0,1505,2023-03-24
DIST035,Education,Lego Classic Creative Box,Toys,11227.13,16891.13,Fast Moving,2,2023,11227.13,11967.7,0,0,1,0,1,0,0,0,25556,2023-03-22
DIST021,Healthcare,Pepsi 330ml Can Pack,Beverages,29732.7,21367.23,Fast Moving,4,2021,29732.7,31742.47,1,0,0,0,0,1,0,1,14964,2021-11-06
DIST041,E-commerce,Asian Paints Dynamo Adhesive,Paint and ancillaries,3106.79,5602.99,Fast Moving,1,2020,3106.79,2796.11,0,0,1,0,0,0,0,0,30998,2020-03-26
DIST048,Manufacturing,Mobil Super Mileage 15W-40,Automotive,2186.89,2485.01,Fast Moving,3,2021,2186.89,1298.71,0,1,0,1,0,1,1,0,35936,2021-09-10
DIST028,Financial Services,Baidyanath Chyawanprash,Health,10333.12,6209.52,Medium,4,2021,10333.12,7869.01,1,0,0,0,0,1,0,1,20237,2021-11-06
DIST035,Education,Mattel Barbie Dreamhouse,Toys,5432.1,12981.66,Slow Moving,2,2021,5432.1,4458.57,0,0,1,1,1,0,0,0,26120,2021-04-12
DIST034,E-commerce,Fevicol Adhesive 200g,Office Supplies,8199.1,5737.77,Medium,4,2020,8199.1,5811.49,1,0,0,1,0,1,0,1,25074,2020-11-14
DIST045,E-commerce,Horlicks Classic 1kg,Beverages,2521.36,2457.11,Medium,1,2025,2521.36,3728.66,0,0,1,1,0,0,0,0,33501,2025-02-24
DIST018,Manufacturing,Nerolac Impressions HD Paint,Paint and ancillaries,436.24,930.34,Slow Moving,1,2023,436.24,616.94,0,0,1,1,0,0,0,0,13140,2023-03-24
DIST018,Manufacturing,Louis Vuitton Neverfull Bag,Apparel,56445.97,68246.14,Medium,1,2022,56445.97,92436.11,0,0,1,1,0,0,0,0,13385,2022-04-04
DIST009,Manufacturing,Vaseline Body Lotion,Beauty,3165.67,3547.06,Slow Moving,1,2025,3165.67,6341.37,0,0,1,1,0,0,0,0,6236,2025-03-04
DIST015,Retail,Canon EOS R6 Camera,Electronics,2280.26,4083.36,Fast Moving,2,2020,2280.26,2230.54,0,0,1,1,1,0,0,0,10966,2020-03-27
DIST049,Financial Services,Uniqlo AIRism Undershirt,Apparel,7518.94,4630.7,Fast Moving,2,2024,7518.94,5268.43,0,0,1,1,1,0,0,0,36684,2024-04-08
DIST020,Retail,Sony WH-1000XM5 Headphones,Electronics,19101.2,9515.13,Slow Moving,4,2023,19101.2,12454.84,1,0,0,0,0,1,0,1,14120,2023-11-14
DIST015,Retail,Havells Table Fan,Home Goods,847.36,956.25,Medium,1,2025,847.36,1195.98,0,0,1,1,0,0,0,0,11030,2025-03-16
DIST008,Manufacturing,Havells Table Fan,Home Goods,468.89,956.25,Fast Moving,1,2022,468.89,842.13,0,0,1,1,0,0,0,0,5739,2022-04-01
DIST049,Financial Services,Faber-Castell Highlighters,Office Supplies,7879.86,6957.07,Slow Moving,2,2021,7879.86,7264.17,0,0,1,1,1,0,0,0,36942,2021-04-14
DIST027,Wholesale,Revlon ColorStay Eyeliner,Beauty,3336.99,3873.66,Fast Moving,1,2023,3336.99,6061.48,0,0,1,1,0,0,0,0,19807,2023-03-23
DIST032,Manufacturing,Everest Chicken Masala,Food,1930.3,1251.2,Fast Moving,4,2024,1930.3,1701.43,1,0,0,0,0,1,0,1,23169,2024-11-03
DIST040,Retail,North Face Puffer Jacket,Apparel,5761.37,8039.47,Medium,1,2023,5761.37,9097.62,0,0,1,1,0,0,0,0,29684,2023-03-21
DIST032,Manufacturing,Classmate Notebook Set,Office Supplies,6974.82,5049.67,Fast Moving,4,2020,6974.82,5926.25,1,0,0,1,0,1,0,1,23025,2020-11-13
DIST003,Education,Havells Table Fan,Home Goods,1122.65,956.25,Fast Moving,3,2020,1122.65,870.06,0,1,0,0,0,1,1,0,1766,2020-08-22
DIST032,Manufacturing,Biotique Morning Nectar Lotion,Beauty,1628.42,2458.76,Medium,2,2024,1628.42,1402.56,0,0,1,1,1,0,0,0,23491,2024-04-10
DIST043,Education,Whiskas Cat Food Tuna 7kg,Pet Supplies,851.1,1685.14,Fast Moving,1,2020,851.1,765.99,0,0,1,0,0,0,0,0,32324,2020-03-24
DIST046,Manufacturing,Sony WH-1000XM5 Headphones,Electronics,10617.06,9515.13,Medium,3,2025,10617.06,7345.87,0,1,0,0,0,1,1,0,34329,2025-07-18
DIST033,E-commerce,Biotique Morning Nectar Lotion,Beauty,2362.63,2458.76,Fast Moving,3,2021,2362.63,2288.09,0,1,0,1,0,1,1,0,24720,2021-09-09
DIST010,E-commerce,Nerolac Impressions HD Paint,Paint and ancillaries,611.37,930.34,Slow Moving,1,2022,611.37,964.64,0,0,1,1,0,0,0,0,7120,2022-03-31
DIST025,Financial Services,Michelin P215/65R16 Tires,Automotive,2566.04,2763.1,Slow Moving,3,2021,2566.04,2005.96,0,1,0,1,0,1,1,0,18129,2021-09-11
DIST029,Manufacturing,Nerolac Impressions HD Paint,Paint and ancillaries,937.06,930.34,Medium,2,2024,937.06,364.51,0,0,1,1,1,0,0,0,20607,2024-04-11
DIST042,Retail,Hot Wheels 5-Car Pack,Toys,2222.5,5502.54,Fast Moving,1,2023,2222.5,4300.49,0,0,1,1,0,0,0,0,31354,2023-03-20
DIST016,E-commerce,Baidyanath Chyawanprash,Health,4383.9,6209.52,Slow Moving,3,2021,4383.9,4388.91,0,1,0,1,0,1,1,0,11427,2021-09-10
DIST028,Financial Services,Fluval Aquarium Filter,Pet Supplies,3627.68,3819.25,Slow Moving,2,2020,3627.68,2655.64,0,0,1,1,1,0,0,0,20003,2020-03-25
DIST010,E-commerce,Britannia Good Day Cookies,Food,5004.3,4600.58,Slow Moving,3,2021,5004.3,4573.64,0,1,0,1,0,1,1,0,7596,2021-09-09
DIST050,Wholesale,MAC Ruby Woo Lipstick,Beauty,4550.93,5146.8,Slow Moving,1,2025,4550.93,9424.9,0,0,1,1,0,0,0,0,37370,2025-02-11
DIST032,Manufacturing,Michael Kors Crossbody Bag,Apparel,14373.0,7211.41,Medium,4,2024,14373.0,8864.16,1,0,0,0,0,1,0,1,23791,2024-10-30
DIST050,Wholesale,Xbox Series X,Toys,14658.19,9659.16,Medium,4,2025,14658.19,9402.47,1,0,0,0,0,1,0,1,37167,2025-12-09
DIST023,Manufacturing,Basil Rubber Chew Toy,Pet Supplies,4684.99,10800.74,Fast Moving,1,2022,4684.99,7542.4,0,0,1,1,0,0,0,0,16337,2022-04-01
DIST043,Education,Strauss Yoga Mat,Sports,17907.57,18825.74,Slow Moving,3,2022,17907.57,16345.08,0,1,0,1,0,1,1,0,32625,2022-08-29
DIST007,E-commerce,Pawzone Cat Scratch Post,Pet Supplies,1586.12,2378.99,Slow Moving,3,2020,1586.12,1631.33,0,1,0,0,0,1,1,0,5298,2020-08-22
DIST027,Wholesale,"Sony Bravia 55"" OLED TV",Electronics,1674.81,1982.55,Medium,1,2022,1674.81,4087.17,0,0,1,1,0,0,0,0,19320,2022-04-01
DIST040,Retail,Thums Up 1.25L,Beverages,22623.86,17644.64,Fast Moving,3,2022,22623.86,12824.12,0,1,0,1,0,1,1,0,29659,2022-08-30
DIST001,Manufacturing,Me-O Cat Food Seafood 7kg,Pet Supplies,21984.82,21784.25,Fast Moving,3,2022,21984.82,17887.05,0,1,0,1,0,1,1,0,33,2022-08-29
DIST020,Retail,Fevicol SH Wood Adhesive 1kg,Paint and ancillaries,5393.15,6171.51,Medium,4,2024,5393.15,6180.98,1,0,0,0,0,1,0,1,14448,2024-11-02
DIST004,Healthcare,Funskool Monopoly,Toys,3826.92,3982.36,Medium,1,2022,3826.92,5457.54,0,0,1,1,0,0,0,0,2619,2022-04-04
DIST033,E-commerce,Cat Mate Pet Fountain,Pet Supplies,6743.74,5975.71,Fast Moving,2,2025,6743.74,8756.68,0,0,1,1,1,0,0,0,24689,2025-04-23
DIST014,Manufacturing,Prestige Popular Pressure Cooker,Home Goods,4137.57,2876.37,Fast Moving,4,2025,4137.57,3279.87,1,0,0,0,0,1,0,1,10188,2025-11-07
DIST005,Financial Services,Funskool Monopoly,Toys,5353.98,3982.36,Medium,4,2020,5353.98,3645.57,1,0,0,1,0,1,0,1,3795,2020-11-14
DIST046,Manufacturing,Cadbury Dairy Milk Chocolate,Food,19730.54,12480.74,Medium,4,2023,19730.54,20756.93,1,0,0,0,0,1,0,1,34411,2023-11-13
DIST009,Manufacturing,Faber Chimney Hood,Home Goods,1382.93,1179.46,Medium,2,2025,1382.93,965.07,0,0,1,1,1,0,0,0,6305,2025-06-08
DIST009,Manufacturing,MAC Ruby Woo Lipstick,Beauty,8239.94,5146.8,Slow Moving,4,2022,8239.94,6303.54,1,0,0,0,0,1,0,1,6342,2022-10-24
DIST006,Financial Services,Kong Classic Dog Toy,Pet Supplies,4477.86,7035.35,Slow Moving,1,2024,4477.86,7756.89,0,0,1,1,0,0,0,0,4379,2024-04-09
